survey_year,currency_code,usd_per_unit,rate_date
2024,USD,1.0,2024-06-11
2024,AUD,0.65989178,2024-06-11
2024,BGN,0.54863664,2024-06-11
2024,BRL,0.18672393,2024-06-11
2024,CAD,0.72595281,2024-06-11
2024,CHF,1.11515043,2024-06-11
2024,CNY,0.13784928,2024-06-11
2024,CZK,0.04343105,2024-06-11
2024,DKK,0.14386419,2024-06-11
2024,EUR,1.07299591,2024-06-11
2024,GBP,1.27437237,2024-06-11
2024,HKD,0.12803933,2024-06-11
2024,HUF,0.00271902,2024-06-11
2024,IDR,6.136e-05,2024-06-11
2024,ILS,0.26876663,2024-06-11
2024,INR,0.01196602,2024-06-11
2024,ISK,0.00717721,2024-06-11
2024,JPY,0.00636943,2024-06-11
2024,KRW,0.00072538,2024-06-11
2024,MXN,0.05446475,2024-06-11
2024,MYR,0.21188685,2024-06-11
2024,NOK,0.09337766,2024-06-11
2024,NZD,0.61267002,2024-06-11
2024,PHP,0.01701259,2024-06-11
2024,PLN,0.2471638,2024-06-11
2024,RON,0.21560088,2024-06-11
2024,SEK,0.09540619,2024-06-11
2024,SGD,0.73915293,2024-06-11
2024,THB,0.02721088,2024-06-11
2024,TRY,0.03088612,2024-06-11
2024,ZAR,0.0537646,2024-06-11
2023,USD,1.0,2023-06-02
2023,AUD,0.66242713,2023-06-02
2023,BGN,0.55029716,2023-06-02
2023,BRL,0.20023628,2023-06-02
2023,CAD,0.74521201,2023-06-02
2023,CHF,1.10299795,2023-06-02
2023,CNY,0.14149675,2023-06-02
2023,CZK,0.04549591,2023-06-02
2023,DKK,0.14449405,2023-06-02
2023,EUR,1.07629882,2023-06-02
2023,GBP,1.25253639,2023-06-02
2023,HKD,0.12760473,2023-06-02
2023,HUF,0.0028983,2023-06-02
2023,IDR,6.737e-05,2023-06-02
2023,ILS,0.26700131,2023-06-02
2023,INR,0.01214182,2023-06-02
2023,ISK,0.00717051,2023-06-02
2023,JPY,0.0072015,2023-06-02
2023,KRW,0.00076788,2023-06-02
2023,MXN,0.05709001,2023-06-02
2023,MYR,0.21845986,2023-06-02
2023,NOK,0.09086531,2023-06-02
2023,NZD,0.60971892,2023-06-02
2023,PHP,0.01789901,2023-06-02
2023,PLN,0.23930888,2023-06-02
2023,RON,0.21690092,2023-06-02
2023,SEK,0.09318188,2023-06-02
2023,SGD,0.743605,2023-06-02
2023,THB,0.02889338,2023-06-02
2023,TRY,0.04789043,2023-06-02
2023,ZAR,0.05138456,2023-06-02
